Voter Login Id*,Phone Country code,Mobile Number,Vote Weightage*,Password
test1@email.com,,,20,
test2@email.com,,,10,
test3@email.com,,,11,
test4@email.com,,,0,
test5@email.com,,,9,
,,,,
,,,,
***Instructions***,,,,
Voter password will be the Identification Number(PAN/Adhaar/Voter ID/Passport as entered in Form CA),,,,
Voter Login id should be unique and should not be present in Current Poll Title ,,,,
Mobile Number is not mandatory,,,,
Vote Weightage if not there please mention 0. But the sum of Vote Weightgae should not exceed 100,,,,
Please remove these instructions before uploading the template,,,,
