First Name,Middle Name,Last Name,Email Id,Phone Country Code,Phone Number,User Role,Auto Login,Company Name,2FA Mode
John,,p,dumy@gmail.com,91,8899117700,User,Yes,Dcirrus,Mobile
,,,,,,Admin,No,,Email
,,,,,,,,,Authenticator
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
#Guidelines,,,,,,,,,
"#1.First Name,Last Name,Email id and Company Name are mandatory Fields. If any of the mandatory field is blank, then user will not be created.",,,,,,,,,
"#2.Leave blank for 2FA, if you do not want to enable 2FA.",,,,,,,,,
"#3.If 2FA is enabled at dataroom level and if you leave blank for 2FA, by default Email Mode will be selected.",,,,,,,,,
"#4.If 2FA mode is selected as Mobile or Whatsapp, Phone Country Code and Phone number are mandatory. If Phone Country Code and/or Phone number are blank, then by default Email Mode will be selected.",,,,,,,,,
